date,open,high,low,volume,name,daily_return_in_perc,rsi,obv,close
21-07-2014,94.99,95,93.72,39079002,AAPL,-0.519961877,54.69861789,650867047,93.939
22-07-2014,94.68,94.89,94.12,55196597,AAPL,0.831390583,55.49038268,706063644,94.72
23-07-2014,95.42,97.88,95.17,92917719,AAPL,2.607685811,63.88660149,798981363,97.19
24-07-2014,97.035,97.32,96.42,45728843,AAPL,-0.16462599,61.5667556,753252520,97.03
25-07-2014,96.85,97.84,96.64,43469117,AAPL,0.660620427,57.29573651,796721637,97.671
28-07-2014,97.82,99.24,97.55,55317689,AAPL,1.381167388,64.79576204,852039326,99.02
29-07-2014,99.33,99.44,98.25,43143095,AAPL,-0.646334074,61.49805418,808896231,98.38
30-07-2014,98.44,98.7,97.67,33010001,AAPL,-0.233787355,62.09502066,775886230,98.15
31-07-2014,97.16,97.45,95.33,56842647,AAPL,-2.598064187,51.24653921,719043583,95.6
01-08-2014,94.9,96.62,94.81,48511286,AAPL,0.554393305,48.89975382,767554869,96.13
04-08-2014,96.37,96.58,95.17,39958144,AAPL,-0.561739311,50.96758934,727596725,95.59
05-08-2014,95.36,95.68,94.36,55932663,AAPL,-0.49168323,51.22458976,671664062,95.12
06-08-2014,94.75,95.48,94.71,38558342,AAPL,-0.168208579,57.56996786,633105720,94.96
07-08-2014,94.93,95.95,94.1,46711179,AAPL,-0.50547599,50.21754264,586394541,94.48
08-08-2014,94.26,94.82,93.28,41865193,AAPL,0.275190517,53.55652251,628259734,94.74
11-08-2014,95.27,96.08,94.8355,36584844,AAPL,1.319400464,55.41346974,664844578,95.99
12-08-2014,96.04,96.88,95.61,33795352,AAPL,-0.020835504,43.42672414,631049226,95.97
13-08-2014,96.15,97.24,96.04,31866088,AAPL,1.323330207,51.0105871,662915314,97.24
14-08-2014,97.33,97.57,96.8,28115566,AAPL,0.267379679,49.14576881,691030880,97.5
15-08-2014,97.9,98.19,96.86,48951331,AAPL,0.492307692,44.3107221,739982211,97.98
18-08-2014,98.49,99.37,97.98,47572413,AAPL,1.204327414,54.02892562,787554624,99.16
19-08-2014,99.41,100.68,99.32,69399270,AAPL,1.381605486,60.99815157,856953894,100.53
20-08-2014,100.44,101.09,99.95,52699192,AAPL,0.039789118,79.90373045,909653086,100.57
21-08-2014,100.57,100.94,100.11,33478198,AAPL,0.009943323,78.56225931,943131284,100.58
22-08-2014,100.29,101.47,100.19,44183834,AAPL,0.73573275,85.85732165,987315118,101.32
25-08-2014,101.79,102.17,101.28,40270173,AAPL,0.217133833,91.47286822,1027585291,101.54
26-08-2014,101.42,101.5,100.86,33151984,AAPL,-0.64112665,86.01627992,994433307,100.889
27-08-2014,101.02,102.57,100.7,52369011,AAPL,1.230064725,92.53781139,1046802318,102.13
28-08-2014,101.59,102.78,101.56,68459801,AAPL,0.117497307,92.41979214,1115262119,102.25
29-08-2014,102.86,102.9,102.2,44595247,AAPL,0.244498778,91.45440652,1159857366,102.5
02-09-2014,103.06,103.74,102.72,53564262,AAPL,0.780487805,92.45829472,1213421628,103.3
03-09-2014,103.1,103.2,98.58,125420521,AAPL,-4.22071636,57.2513223,1088001107,98.94
04-09-2014,98.85,100.09,97.79,85718221,AAPL,-0.828785122,52.52401889,1002282886,98.12
05-09-2014,98.8,99.39,98.31,58457035,AAPL,0.86628618,53.91242491,1060739921,98.97
08-09-2014,99.3,99.31,98.05,46356742,AAPL,-0.616348388,46.68928985,1014383179,98.36
09-09-2014,99.08,103.08,96.14,189846255,AAPL,-0.376169174,38.53997473,824536924,97.99
10-09-2014,98.01,101.11,97.76,100869587,AAPL,3.071742014,51.53003131,925406511,101
11-09-2014,100.41,101.44,99.62,62399743,AAPL,0.425742574,52.93670536,987806254,101.43
12-09-2014,101.21,102.19,101.08,64096903,AAPL,0.22675737,51.2175906,1051903157,101.66
15-09-2014,102.81,103.05,101.44,61316516,AAPL,-0.029510132,50.32674993,990586641,101.63
16-09-2014,99.8,101.26,98.89,66908133,AAPL,-0.7576503,49.89561587,923678508,100.86
17-09-2014,101.27,101.8,100.5922,60926498,AAPL,0.713860797,47.94315632,984605006,101.58
18-09-2014,101.93,102.35,101.56,37299435,AAPL,0.206733609,48.29123328,1021904441,101.79
19-09-2014,102.29,102.35,100.88,70902406,AAPL,-0.815404264,44.51566952,951002035,100.96
22-09-2014,101.8,102.14,100.58,52788426,AAPL,0.099049128,41.6041979,1003790461,101.06
23-09-2014,100.6,102.94,100.54,63402196,AAPL,1.563427667,67.51893939,1067192657,102.64
24-09-2014,102.16,102.85,101.2,60171828,AAPL,-0.86710834,67.07431797,1007020829,101.75
25-09-2014,100.51,100.71,97.72,100091990,AAPL,-3.813267813,45.97364568,906928839,97.87
26-09-2014,98.53,100.75,98.4,62370501,AAPL,2.942679064,57.50156937,969299340,100.75
29-09-2014,98.65,100.435,98.63,49766312,AAPL,-0.635235732,56.54320988,919533028,100.11
30-09-2014,100.81,101.54,100.53,55264139,AAPL,0.639296774,49.09616775,974797167,100.75
01-10-2014,100.59,100.69,98.7,51491286,AAPL,-1.558312655,42.48496994,923305881,99.18
02-10-2014,99.27,100.22,98.04,47757828,AAPL,0.725952813,44.30789133,971063709,99.9
03-10-2014,99.44,100.21,99.04,43469585,AAPL,-0.28028028,43.60280076,927594124,99.62
06-10-2014,99.95,100.65,99.42,37051182,AAPL,0,45.85006693,927594124,99.62
07-10-2014,99.43,100.12,98.73,42094183,AAPL,-0.873318611,40.62292909,885499941,98.75
08-10-2014,98.76,101.11,98.31,57404674,AAPL,2.075949367,47.0761961,942904615,100.8
09-10-2014,101.54,102.38,100.61,77376525,AAPL,0.218253968,50.18382353,1020281140,101.02
10-10-2014,100.69,102.03,100.3,66331592,AAPL,-0.287071867,49.00060569,953949548,100.73
13-10-2014,101.33,101.78,99.81,53583368,AAPL,-0.913332671,41.07255521,900366180,99.81
14-10-2014,100.39,100.52,98.57,63688562,AAPL,-1.062017834,40.63670412,836677618,98.75
15-10-2014,97.97,99.15,95.18,100933600,AAPL,-1.225316456,48.76404494,735744018,97.54
16-10-2014,95.55,97.72,95.41,72154523,AAPL,-1.312282141,30.89361702,663589495,96.26
17-10-2014,97.5,99,96.81,68179688,AAPL,1.46478288,40.25559105,731769183,97.67
20-10-2014,98.315,99.96,98.22,77517279,AAPL,2.139858708,46.45669291,809286462,99.76
21-10-2014,103.02,103.02,101.27,94623904,AAPL,2.716519647,60.88682991,903910366,102.47
22-10-2014,102.84,104.11,102.6,68263146,AAPL,0.5074656,60.36217304,972173512,102.99
23-10-2014,104.08,105.051,103.63,71074674,AAPL,1.786581221,65.81663631,1043248186,104.83
24-10-2014,105.18,105.49,104.53,47053916,AAPL,0.372030907,66.60735469,1090302102,105.22
27-10-2014,104.85,105.48,104.7,34187701,AAPL,-0.104542863,69.7515528,1056114401,105.11
28-10-2014,105.4,106.74,105.35,48060949,AAPL,1.55075635,68.94132653,1104175350,106.74
29-10-2014,106.65,107.37,106.36,52687879,AAPL,0.562113547,69.6762142,1156863229,107.34
30-10-2014,106.959,107.35,105.9,40654793,AAPL,-0.335382895,69.37383757,1116208436,106.98
31-10-2014,108.01,108.04,107.21,44639285,AAPL,0.953449243,75.2310536,1160847721,108
03-11-2014,108.22,110.3,108.01,52282550,AAPL,1.296296296,82.13639107,1213130271,109.4
04-11-2014,109.36,109.49,107.72,41574365,AAPL,-0.731261426,84.22029703,1171555906,108.6
05-11-2014,109.1,109.3,108.125,37435905,AAPL,0.239410681,91.61162483,1208991811,108.86
06-11-2014,108.6,108.79,107.8,34968457,AAPL,-0.14697777,89.70482361,1174023354,108.7
07-11-2014,108.75,109.32,108.55,33691535,AAPL,0.285188592,88.19157721,1207714889,109.01
10-11-2014,109.02,109.33,108.67,27195547,AAPL,-0.165122466,83.19415449,1180519342,108.83
11-11-2014,108.7,109.75,108.4,27442252,AAPL,0.799411927,83.78650554,1207961594,109.7
12-11-2014,109.38,111.43,109.37,46942431,AAPL,1.412944394,83.29875519,1254904025,111.25
13-11-2014,111.8,113.45,111.6,59522855,AAPL,1.411235955,85.12014787,1314426880,112.82
14-11-2014,113.15,114.19,113.05,44063595,AAPL,1.205460025,87.57249379,1358490475,114.18
17-11-2014,114.27,117.28,113.3,46746712,AAPL,-0.166403924,84.10159925,1311743763,113.99
18-11-2014,113.94,115.69,113.89,44223978,AAPL,1.298359505,85.31711555,1355967741,115.47
19-11-2014,115.44,115.74,113.8,41869160,AAPL,-0.692820646,82.17573222,1314098581,114.67
20-11-2014,114.91,116.86,114.85,43395537,AAPL,1.430190983,83.0548926,1357494118,116.31
21-11-2014,117.51,117.57,116.03,57179298,AAPL,0.137563408,81.20035305,1414673416,116.47
24-11-2014,116.85,118.77,116.62,47450824,AAPL,1.85026187,89.5151754,1462124240,118.625
25-11-2014,119.07,119.75,117.45,68840440,AAPL,-0.864067439,82.49070632,1393283800,117.6
26-11-2014,117.94,119.1,117.83,40831886,AAPL,1.19047619,85.05786249,1434115686,119
28-11-2014,119.27,119.4,118.05,24814402,AAPL,-0.058823529,84.32525952,1409301284,118.93
01-12-2014,118.81,119.25,111.27,83814037,AAPL,-3.245606659,67.20904578,1325487247,115.07
02-12-2014,113.5,115.75,112.75,59348940,AAPL,-0.382375945,63.92655367,1266138307,114.63
03-12-2014,115.75,116.35,115.11,43063440,AAPL,1.134083573,63.40974212,1309201747,115.93
04-12-2014,115.77,117.2,115.29,42155776,AAPL,-0.379539377,58.18014706,1267045971,115.49
05-12-2014,115.99,116.08,114.64,38318895,AAPL,-0.424279158,52.65372168,1228727076,115
08-12-2014,114.1,114.648,111.62,57664850,AAPL,-2.260869565,45.54871221,1171062226,112.4
09-12-2014,110.19,114.3,109.35,60208036,AAPL,1.53024911,46.27071823,1231270262,114.12
10-12-2014,114.41,114.85,111.54,44565318,AAPL,-1.901507185,43.01489471,1186704944,111.95
11-12-2014,112.26,113.8,111.34,41471578,AAPL,-0.294774453,37.08700441,1145233366,111.62
12-12-2014,110.46,111.87,109.58,56028138,AAPL,-1.693244938,33.05681247,1089205228,109.73
15-12-2014,110.7,111.6,106.35,67218082,AAPL,-1.371548346,22.97297297,1021987146,108.225
16-12-2014,106.37,110.16,106.26,60790733,AAPL,-1.367521368,22.44224422,961196413,106.745
17-12-2014,107.12,109.84,106.82,53411773,AAPL,2.496604056,27.1230916,1014608186,109.41
18-12-2014,111.87,112.65,110.66,59006218,AAPL,2.961338086,36.98715292,1073614404,112.65
19-12-2014,112.26,113.24,111.66,88429770,AAPL,-0.772303595,42.21854305,985184634,111.78
22-12-2014,112.16,113.49,111.97,45167549,AAPL,1.037752729,46.13449222,1030352183,112.94
23-12-2014,113.23,113.33,112.46,26028419,AAPL,-0.354170356,41.91316794,1004323764,112.54
24-12-2014,112.58,112.71,112.01,14479611,AAPL,-0.470943664,41.73396675,989844153,112.01
26-12-2014,112.1,114.52,112.01,33720951,AAPL,1.767699313,47.7595386,1023565104,113.99
29-12-2014,113.79,114.77,113.7,27598920,AAPL,-0.070181595,53.77122877,995966184,113.91
30-12-2014,113.64,113.92,112.11,29881477,AAPL,-1.22026161,45.93702387,966084707,112.52
31-12-2014,112.82,113.13,110.21,41403351,AAPL,-1.901884109,46.00712106,924681356,110.38
